---------------------------------------------------------------------------------------------------
Date: 4/14/2026 -- 13:36:19 (uptime: 0d, 00h 00m 04s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
decoder.pkts                                                 | Total                     | 15512
decoder.bytes                                                | Total                     | 6333775
decoder.ipv4                                                 | Total                     | 14676
decoder.ethernet                                             | Total                     | 15512
decoder.arp                                                  | Total                     | 836
decoder.tcp                                                  | Total                     | 12544
tcp.syn                                                      | Total                     | 349
tcp.synack                                                   | Total                     | 351
tcp.rst                                                      | Total                     | 328
decoder.udp                                                  | Total                     | 2113
decoder.icmpv4                                               | Total                     | 19
decoder.avg_pkt_size                                         | Total                     | 408
decoder.max_pkt_size                                         | Total                     | 1514
flow.total                                                   | Total                     | 795
flow.tcp                                                     | Total                     | 352
flow.udp                                                     | Total                     | 443
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 8
flow.wrk.flows_evicted_needs_work                            | Total                     | 273
flow.wrk.flows_evicted_pkt_inject                            | Total                     | 314
flow.wrk.flows_evicted                                       | Total                     | 228
flow.wrk.flows_injected                                      | Total                     | 271
tcp.sessions                                                 | Total                     | 349
tcp.ssn_from_cache                                           | Total                     | 1
tcp.ssn_from_pool                                            | Total                     | 348
tcp.segment_from_cache                                       | Total                     | 673
tcp.segment_from_pool                                        | Total                     | 6165
tcp.stream_depth_reached                                     | Total                     | 1
tcp.overlap                                                  | Total                     | 12
detect.alert                                                 | Total                     | 561
detect.alerts_suppressed                                     | Total                     | 348
app_layer.flow.http                                          | Total                     | 19
app_layer.tx.http                                            | Total                     | 308
app_layer.flow.tls                                           | Total                     | 152
app_layer.flow.smb                                           | Total                     | 24
app_layer.tx.smb                                             | Total                     | 328
app_layer.flow.dcerpc_tcp                                    | Total                     | 81
app_layer.tx.dcerpc_tcp                                      | Total                     | 380
app_layer.flow.ntp                                           | Total                     | 13
app_layer.flow.krb5_tcp                                      | Total                     | 8
app_layer.tx.krb5_tcp                                        | Total                     | 16
app_layer.flow.quic                                          | Total                     | 8
app_layer.flow.dhcp                                          | Total                     | 2
app_layer.flow.ldap_tcp                                      | Total                     | 61
app_layer.tx.ldap_tcp                                        | Total                     | 90
app_layer.error.ldap_tcp.parser                              | Total                     | 61
app_layer.flow.mdns                                          | Total                     | 1
app_layer.flow.failed_udp                                    | Total                     | 180
app_layer.flow.dns_udp                                       | Total                     | 215
app_layer.tx.dns_udp                                         | Total                     | 809
app_layer.tx.ntp                                             | Total                     | 14
app_layer.tx.quic                                            | Total                     | 40
app_layer.tx.dhcp                                            | Total                     | 4
app_layer.flow.ldap_udp                                      | Total                     | 24
app_layer.tx.ldap_udp                                        | Total                     | 32
app_layer.tx.mdns                                            | Total                     | 3
flow.end.state.new                                           | Total                     | 186
flow.end.state.established                                   | Total                     | 265
flow.end.state.closed                                        | Total                     | 344
flow.end.tcp_state.established                               | Total                     | 5
flow.end.tcp_state.time_wait                                 | Total                     | 3
flow.end.tcp_state.closed                                    | Total                     | 341
flow.mgr.rows_per_sec                                        | Total                     | 6553
flow.spare                                                   | Total                     | 9200
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 1
flow.mgr.flows_notimeout                                     | Total                     | 1
memcap.pressure                                              | Total                     | 8
memcap.pressure_max                                          | Total                     | 8
defrag.memuse                                                | Total                     | 33554432
flow.recycler.recycled                                       | Total                     | 296
flow.recycler.queue_avg                                      | Total                     | 1
flow.recycler.queue_max                                      | Total                     | 150
tcp.memuse                                                   | Total                     | 4980736
tcp.reassembly_memuse                                        | Total                     | 917504
http.memuse                                                  | Total                     | 268344
http.byterange.memuse                                        | Total                     | 836234
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 684288
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 668288
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 11588608
---------------------------------------------------------------------------------------------------
