"No.","Time","Source","Destination","Protocol","Length","Info"
"1","2026/106 15:00:45.542289200","104.18.32.47","172.18.81.124","TCP","60","443  >  64423 [ACK] Seq=1 Ack=1 Win=230 Len=0"
"2","2026/106 15:00:45.542289200","104.18.32.47","172.18.81.124","TCP","60","443  >  64423 [ACK] Seq=1 Ack=4201 Win=231 Len=0"
"3","2026/106 15:00:45.542289200","104.18.32.47","172.18.81.124","TCP","60","443  >  64423 [ACK] Seq=1 Ack=11201 Win=233 Len=0"
"4","2026/106 15:00:45.542289200","104.18.32.47","172.18.81.124","TCP","60","443  >  64423 [ACK] Seq=1 Ack=13797 Win=234 Len=0"
"5","2026/106 15:00:45.542289200","104.18.32.47","172.18.81.124","TLSv1.2","97","Application Data"
"6","2026/106 15:00:45.584515500","172.18.81.124","104.18.32.47","TCP","54","64423  >  443 [ACK] Seq=13836 Ack=40 Win=511 Len=0"
"7","2026/106 15:00:45.610670400","104.18.32.47","172.18.81.124","TLSv1.2","448","Application Data"
"8","2026/106 15:00:45.610670400","104.18.32.47","172.18.81.124","TLSv1.2","104","Application Data"
"9","2026/106 15:00:45.610670400","104.18.32.47","172.18.81.124","TLSv1.2","89","Application Data"
"10","2026/106 15:00:45.610822300","172.18.81.124","104.18.32.47","TCP","54","64423  >  443 [ACK] Seq=13836 Ack=507 Win=510 Len=0"
"11","2026/106 15:00:45.613763700","172.18.81.124","104.18.32.47","TLSv1.2","89","Application Data"
"12","2026/106 15:00:45.642834900","172.18.81.11","224.0.0.251","MDNS","470","Standard query response 0x0000 PTR Sophiaâ\200\231s MacBook Air._companion-link._tcp.local TXT TXT, cache flush AAAA, cache flush fe80::18b4:2c31:80c2:5bb0 A, cache flush 172.18.81.11 SRV, cache flush 0 0 54609 Sophias-MacBook-Air.local NSEC, cache flush Sophiaâ\200\231s MacBook Air._companion-link._tcp.local NSEC, cache flush Sophias-MacBook-Air.local"
"13","2026/106 15:00:45.642834900","fe80::18b4:2c31:80c2:5bb0","ff02::fb","MDNS","490","Standard query response 0x0000 PTR Sophiaâ\200\231s MacBook Air._companion-link._tcp.local TXT TXT, cache flush AAAA, cache flush fe80::18b4:2c31:80c2:5bb0 A, cache flush 172.18.81.11 SRV, cache flush 0 0 54609 Sophias-MacBook-Air.local NSEC, cache flush Sophiaâ\200\231s MacBook Air._companion-link._tcp.local NSEC, cache flush Sophias-MacBook-Air.local"
"14","2026/106 15:00:45.650039800","172.18.82.194","224.0.0.251","MDNS","484","Standard query response 0x0000 PTR Guest Bedroom._companion-link._tcp.local TXT TXT, cache flush SRV, cache flush 0 0 49153 Guest-Bedroom.local AAAA, cache flush fe80::1469:a715:7d6:c844 A, cache flush 172.18.82.194 NSEC, cache flush Guest Bedroom._companion-link._tcp.local NSEC, cache flush Guest-Bedroom.local"
"15","2026/106 15:00:45.650039800","fe80::1469:a715:7d6:c844","ff02::fb","MDNS","504","Standard query response 0x0000 PTR Guest Bedroom._companion-link._tcp.local TXT TXT, cache flush SRV, cache flush 0 0 49153 Guest-Bedroom.local AAAA, cache flush fe80::1469:a715:7d6:c844 A, cache flush 172.18.82.194 NSEC, cache flush Guest Bedroom._companion-link._tcp.local NSEC, cache flush Guest-Bedroom.local"
"16","2026/106 15:00:45.664388600","104.18.32.47","172.18.81.124","TCP","60","443  >  64423 [ACK] Seq=507 Ack=13871 Win=234 Len=0"
